Question,Option A,Option B,Option C,Option D,Correct Answer,Points
What is a Karatmeter used for?,Measuring light intensity,Detecting the purity of gold,Measuring wind velocity,Measuring atmospheric pressure,b,1
"According to the text, why is rolling a stone up a sloping road easier than lifting it vertically upwards?",Because the stone's weight decreases on a slope.,Because the work done in rolling the stone is less than lifting it.,Because gravity doesn't affect rolling objects.,Because the inclined plane provides mechanical advantage.,b,1
What type of energy is conveyed by the flowing water of a river?,Potential,Chemical,Kinetic,Thermal,c,1
Passengers leaning forward when a moving bus suddenly applies brakes is an example of which law?,Newton's Third Law,Newton's Second Law,Newton's Law of Gravitation,Newton's First Law,d,1
A jet engine's functionality is based on which principle?,Boyle's Law,Archimedes' Principle,Conservation of Energy,Conservation of Linear Momentum,d,1
"According to the text, how does sliding friction compare to limiting friction?",Slightly greater than limiting friction.,Equal to limiting friction.,Significantly greater than limiting friction.,Slightly less than limiting friction.,d,1
What primarily determines the time period of a simple pendulum?,The mass of the pendulum bob,The color of the pendulum bob,On the length of the pendulum,The material of the pendulum bob,c,1
Motion that repeats itself after some time is called?,Linear Motion,Circular Motion,Periodic Motion,Random Motion,c,1
"According to the text, where is gravity effectively absent?",At the North Pole,At the South Pole,Near an artificial satellite (Microgravity),At the Earth's core,c,1
A passenger throws a ball vertically upwards in a train moving at a constant speed. Where will the ball land?,Slightly behind the passenger,In the passenger's hands,Slightly ahead of the passenger,Outside the train,b,1
Where on Earth is the value of 'g' (gravitational acceleration) at its minimum?,At the North Pole,At the South Pole,At the Equator,At the Prime Meridian,c,1
An unused book remaining on a shelf for two years is an example of which law of motion?,Newton's Second Law of Motion,Newton's Third Law of Motion,Law of Universal Gravitation,Newton's First Law of Motion,d,1
Which law of motion is exemplified by throwing a ball against a wall and it returning?,Newton's First Law of Motion,Newton's Second Law of Motion,Newton's Third Law of Motion,Law of Universal Gravitation,c,1
The velocity required for a satellite to escape the Earth's gravitational pull is called?,Orbital Velocity,Terminal Velocity,Escape Velocity,Tangential Velocity,c,1
What type of sound waves are generated in a Sitar?,Longitudinal and Progressive,Longitudinal and Stationary,Stationary and Longitudinal,Stationary and Transverse,d,1
When does the apparent weight of a body in a lift exceed its actual weight?,When the lift is moving downwards at constant speed.,When the lift is moving upwards at constant speed.,Is accelerating upwards.,Is accelerating downwards.,c,1
On what principle does a Jet Engine primarily operate?,Boyle's Law,Archimedes' Principle,Conservation of Energy,Conservation of Linear Momentum,d,1
Which statement is correct regarding sliding friction?,Equal to Limiting friction,Greater than Limiting friction,Slightly less than Limiting friction,Independent of Limiting friction,c,1
The time period of a simple pendulum is dependent on which factor?,Mass of the pendulum,Density of the pendulum,Length of the pendulum,Material of the pendulum,c,1
Where is the effect of gravity considered minimal?,At the Earth's core,At the poles,Near an artificial satellite,At the top of Mount Everest,c,1
A ball thrown vertically upwards inside a train moving at constant speed will fall:,Slightly behind the passenger,Slightly ahead of the passenger,In the passenger's hands,Outside the train,c,1
"The statement ""For every action, there is an equal and opposite reaction"" is attributed to:",Einstein,Archimedes,Newton,Galileo,c,1
Sound waves produced in a Sitar are categorized as:,Longitudinal and Progressive,Longitudinal and Stationary,Stationary and Transverse,Progressive and Transverse,c,1
"According to the text, where is the value of 'g' (gravitational acceleration) minimum?",At the Poles,At the center of the Earth,At the Equator,At the North Pole,c,1
A passenger throwing a ball vertically upwards in a train moving at a constant speed and catching it again exemplifies which law?,Newton's Second Law of Motion,Newton's Law of Gravitation,Newton's Third Law of Motion,Newton's First Law of Motion,d,1
What is the velocity called with which a satellite escapes Earth's gravitational pull?,Orbital Velocity,Tangential Velocity,Escape Velocity,Terminal Velocity,c,1
What does a Karatmeter primarily detect?,Wind Velocity,Purity of Gold,Atmospheric Pressure,Light Intensity,b,1
Sliding friction is generally:,Equal to Limiting Friction,Slightly more than Limiting Friction,Slightly less than Limiting friction,Significantly more than Limiting Friction,c,1
A weightless rubber balloon is filled with 200 grams of water. What will its weight be when submerged in water?,200 grams,100 grams,Equal to the weight of the displaced water,Zero,d,1
Which of the following statements is correct regarding the transfer of a body from the Moon to Earth?,Its mass increases and its weight remains unchanged.,Its mass decreases and its weight increases.,Its weight increases and its mass remains unchanged.,Its weight decreases and its mass increases.,c,1
What physical quantity of an object remains unchanged when its Quantity/Mass is changed?,Weight,Volume,Density,Area,c,1
An unsaturated sugar solution is prepared by mixing 100 grams of sugar in half a liter of water. Which physical quantity will NOT change?,Density,Mass,Volume,Concentration,c,1
"When pulling a bucket of water from a well, at what point does the bucket feel heavier?",While it is submerged in water.,Just as it enters the water.,Has become heavier above the water surface.,It feels the same throughout.,c,1
Why does the Leaning Tower of Pisa not fall?,Due to its unique architectural design.,The vertical line passing through the center of gravity remains outside the base.,The vertical line passing through the center of gravity remains inside the base.,Due to the strong foundation.,c,1
"If a bomb is dropped from an airplane moving at a uniform speed, where will the airplane be when the bomb reaches the bottom?",Slightly behind the bomb.,Slightly ahead of the bomb.,Exactly above the bomb.,The position will be random.,c,1
On what does the highest temperature inside a pressure cooker primarily depend?,The material of the cooker.,On the area of the hole at the top and the weight placed on it.,The amount of food inside the cooker.,The intensity of the heat source.,b,1
Rocket works on the principle of?,Conservation of Energy,Conservation of Mass,Conservation of Momentum,Conservation of Angular Momentum,c,1
"If the distance between Earth and Sun were twice what it is, how would the gravitational force exerted by the Sun on Earth change?",Twice of what it is now.,Half of what it is now.,One-fourth of what it is now.,Four times of what it is now.,c,1
What is the weight of an iron ball in space if its weight on Earth is 10 kg?,10 kg,5 kg,20 kg,Zero,d,1
On what principle does a rocket work?,Principle of Conservation of Energy.,Principle of Conservation of Mass.,Principle of Conservation of Momentum.,Principle of Conservation of Volume.,c,1
Jet engine works on the principle of:,Conservation of Energy,Conservation of Angular Momentum,Conservation of Mass,Principle of Conservation of Linear Momentum,d,1
"An iron ball whose weight on Earth is 10 kg, its weight in space will be?",10 kg,5 kg,20 kg,Zero,d,1
Which of the following remains unchanged when the quantity/mass of an object is changed?,Weight,Volume,Density,Area,c,1
"If a person in a boat in still water moves towards the shore, what will the boat do?",Move towards the shore,Remain stationary,Move away from the shore,Sink,c,1
A piece of ice is floating in a beaker filled with water. What happens to the water surface when the ice melts completely?,The water surface rises,The water surface falls,The water surface remains unchanged,The water overflows,c,1
A person in a moving train tosses a coin which falls behind him. What can be inferred about the train's movement?,The train is moving with uniform velocity,The train is moving with backward acceleration,The train is moving with forward acceleration,The train is decelerating,c,1
What force is responsible for the flow of water in rivers?,Gravity,Surface Tension,Force of friction (Viscosity),Buoyancy,c,1
What fraction of an iceberg is above the sea surface?,1/2 part,1/5 part,1/10 part,1/9 part,d,1
Why can't astronauts stand straight in a vacuum?,There is no air pressure,There is no magnetic field,There is no gravity,There is no atmosphere,c,1
"If the velocity of a moving object is doubled, what happens to its kinetic energy?",Doubles,Remains the same,Four times,Halves,c,1
"If an apple is released from a spaceship orbiting the Earth, what will it do?",Fall to Earth immediately,Move at a slower speed than the spaceship,Move at the same speed along with the spaceship,Move in the opposite direction of the spaceship,c,1
"Which of the following are used in wristwatches, display devices, and pocket calculators?",LEDs,Liquid crystals,Graphene,Optical Fibers,b,1
What happens to a person's mass and weight when orbiting the Earth in a satellite?,Mass and weight both remain unchanged,Mass becomes zero and weight remains unchanged,Mass remains unchangeable but weight becomes zero,Mass and weight both become zero,c,1
A satellite orbits the Earth due to which force?,Gravitational force,Centrifugal force,Centripetal force,Nuclear force,c,1
An object is in static equilibrium when it:,Is accelerating,Is decelerating,Keeps moving with a uniform velocity,Is rotating,c,1
How can a Galvanometer be converted into a Voltmeter?,By connecting low resistance in series,By connecting low resistance in parallel,By connecting high resistance in parallel,By connecting high resistance in series,d,1
The minimum energy needed to remove a free electron from a substance's surface is called?,Potential Energy,Kinetic Energy,Work Function,Ionization Energy,c,1
What is the mechanical transfer of energy to a system by an external force called?,Power,Energy,Work,Momentum,c,1
The rate of work done is defined as:,Energy,Momentum,Power,Force,c,1
A satellite keeps orbiting the Earth in its orbit due to what force?,Gravitational force,Centrifugal force,Centripetal force,Electrostatic force,c,1
The minimum amount of work required to remove a free electron from the surface of a substance is known as?,Potential Energy,Kinetic Energy,Work Function,Ionization Energy,c,1
A person sitting in a moving train facing the engine tosses a coin which falls behind him. What kind of motion is the train experiencing?,Constant velocity,Forward deceleration,Backward acceleration,Forward acceleration,d,1
"What materials are used in wristwatches, display devices, and pocket calculators?",Solid crystals,Gases,Liquid crystals,Plasma,c,1
Why does a satellite keep orbiting the Earth?,Due to Gravitational force,Due to Magnetic force,Due to Centripetal force,Due to Electrostatic force,c,1
Under what condition is an object in static equilibrium?,When it is accelerating,When it is decelerating,Keeps moving with a uniform velocity,When it is rotating,c,1
Energy associated with falling coconuts and speeding cars is known as?,Potential Energy,Chemical Energy,Kinetic Energy,Mechanical Energy,c,1
Mechanical energy is the sum of Potential energy and which other type of energy?,Gravitational Energy,Chemical Energy,Nuclear Energy,Kinetic Energy,d,1
Which of the following is an example of Gravitational Potential Energy?,A speeding car,A rolling stone,Water stored behind a dam,A flying plane,c,1
"In hydroelectric power stations, potential energy of water is converted into which form of energy by rotating the turbine shaft?",Chemical,Kinetic,Nuclear,Light,b,1
Which energy conversion takes place during photosynthesis?,Chemical energy to Light energy,Kinetic energy to Potential energy,Light energy to Chemical energy,Potential energy to Kinetic energy,c,1
A windmill (Turbine) converts which type of energy into mechanical power?,Potential,Chemical,Kinetic,Light,c,1
Kinetic energy is dependent on which two properties of a moving body?,Height and Weight,Volume and Density,Velocity and Mass,Pressure and Temperature,c,1
Hydroelectric power generation primarily relies on the conversion of Gravitational Potential Energy into which type of energy?,Chemical Energy,Nuclear Energy,Electrical Energy,Light Energy,c,1
The inertia of an object is measured by which of its properties?,Volume,Density,Mass,Weight,c,1
Energy associated with falling coconuts is an example of which type of energy?,Potential Energy,Gravitational Potential Energy,Kinetic Energy,Chemical Energy,c,1
What type of energy is associated with a speeding car?,Potential Energy,Chemical Energy,Kinetic Energy,Gravitational Potential Energy,c,1
"In hydroelectric power stations, what energy conversion occurs when water falls on turbines?",Kinetic energy to potential energy,Potential energy to kinetic energy,Chemical energy to electrical energy,Light energy to chemical energy,b,1
